,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
317,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,collector|collector corporate body,,,,,http://rdaregistry.info/Elements/w/P10631,has collector corporate body,IRI,,,,
318,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,col|http://id.loc.gov/vocabulary/relators/col|http://rdaregistry.info/Elements/w/P10631,,,,,http://rdaregistry.info/Elements/w/P10631,has collector corporate body,IRI,,,,
319,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,commissioning body|commissioning corporate body|patron,,,,,http://rdaregistry.info/Elements/w/P10533,has commissioning corporate body,IRI,,,,
320,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,pat|http://id.loc.gov/vocabulary/relators/pat|http://rdaregistry.info/Elements/w/P10533,,,,,http://rdaregistry.info/Elements/w/P10533,has commissioning corporate body,IRI,,,,
321,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,compiler|compiler corporate body,,,,,http://rdaregistry.info/Elements/w/P10538,has compiler corporate body,IRI,,,,
322,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,com|http://id.loc.gov/vocabulary/relators/com|http://rdaregistry.info/Elements/w/P10538,,,,,http://rdaregistry.info/Elements/w/P10538,has compiler corporate body,IRI,,,,
323,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,composer|composer corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10536,has composer corporate body of work,IRI,,,,
324,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,cmp|http://id.loc.gov/vocabulary/relators/cmp|http://rdaregistry.info/Elements/w/P10536,,,,,http://rdaregistry.info/Elements/w/P10536,has composer corporate body of work,IRI,,,,
325,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,consultant|consultant corporate body,,,,,http://rdaregistry.info/Elements/w/P10552,has consultant corporate body,IRI,,,,
326,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,csl|http://id.loc.gov/vocabulary/relators/csl|http://rdaregistry.info/Elements/w/P10552,,,,,http://rdaregistry.info/Elements/w/P10552,has consultant corporate body,IRI,,,,
327,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,court governed,,,,,http://rdaregistry.info/Elements/w/P10011,has court governed,IRI,,,,
328,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,cou|http://id.loc.gov/vocabulary/relators/cou|http://rdaregistry.info/Elements/w/P10011,,,,,http://rdaregistry.info/Elements/w/P10011,has court governed,IRI,,,,
329,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,criminal defendant|criminal defendant corporate body,,,,,http://rdaregistry.info/Elements/w/P10394,has criminal defendant corporate body,IRI,,,,
330,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,dedicatee|dedicatee corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10506,has dedicatee corporate body of work,IRI,,,,
331,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,dte|http://id.loc.gov/vocabulary/relators/dte|http://rdaregistry.info/Elements/w/P10506,,,,,http://rdaregistry.info/Elements/w/P10506,has dedicatee corporate body of work,IRI,,,,
332,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,dedicator|dedicator corporate body,,,,,http://rdaregistry.info/Elements/w/P10508,has dedicator corporate body,IRI,,,,
333,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,dto|http://id.loc.gov/vocabulary/relators/dto|http://rdaregistry.info/Elements/w/P10508,,,,,http://rdaregistry.info/Elements/w/P10508,has dedicator corporate body,IRI,,,,
334,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,defendant|defendant corporate body,,,,,http://rdaregistry.info/Elements/w/P10285,has defendant corporate body,IRI,,,,
335,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,dfd|http://id.loc.gov/vocabulary/relators/dfd|http://rdaregistry.info/Elements/w/P10285,,,,,http://rdaregistry.info/Elements/w/P10285,has defendant corporate body,IRI,,,,
336,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,degree granting institution,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,IRI,,,,
337,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,dgg|http://id.loc.gov/vocabulary/relators/dgg|http://rdaregistry.info/Elements/w/P10006,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,IRI,,,,
338,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,designer|designer corporate body,,,,,http://rdaregistry.info/Elements/w/P10535,has designer corporate body,IRI,,,,
339,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,dsr|http://id.loc.gov/vocabulary/relators/dsr|http://rdaregistry.info/Elements/w/P10535,,,,,http://rdaregistry.info/Elements/w/P10535,has designer corporate body,IRI,,,,
340,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,director|director corporate body,,,,,http://rdaregistry.info/Elements/w/P10549,has director corporate body,IRI,,,,
341,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,drt|http://id.loc.gov/vocabulary/relators/drt|http://rdaregistry.info/Elements/w/P10549,,,,,http://rdaregistry.info/Elements/w/P10549,has director corporate body,IRI,,,,
342,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,director of photography|director corporate body of photography|cinematographer|cinematographer corporate body,,,,,http://rdaregistry.info/Elements/w/P10509,has director corporate body of photography,IRI,,,,
343,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,cng|http://id.loc.gov/vocabulary/relators/cng|http://rdaregistry.info/Elements/w/P10509,,,,,http://rdaregistry.info/Elements/w/P10509,has director corporate body of photography,IRI,,,,
344,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,editorial director|editorial director corporate body,,,,,http://rdaregistry.info/Elements/w/P10511,has editorial director corporate body,IRI,,,,
345,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,enacting jurisdiction,,,,,http://rdaregistry.info/Elements/w/P10017,has enacting jurisdiction,IRI,,,,
346,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,enj|http://id.loc.gov/vocabulary/relators/enj|http://rdaregistry.info/Elements/w/P10017,,,,,http://rdaregistry.info/Elements/w/P10017,has enacting jurisdiction,IRI,,,,
347,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,film director|film director corporate body,,,,,http://rdaregistry.info/Elements/w/P10512,has film director corporate body,IRI,,,,
348,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,fmd|http://id.loc.gov/vocabulary/relators/fmd|http://rdaregistry.info/Elements/w/P10512,,,,,http://rdaregistry.info/Elements/w/P10512,has film director corporate body,IRI,,,,
349,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,film producer|film producer corporate body,,,,,http://rdaregistry.info/Elements/w/P10516,has film producer corporate body,IRI,,,,
350,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,fmp|http://id.loc.gov/vocabulary/relators/fmp|http://rdaregistry.info/Elements/w/P10516,,,,,http://rdaregistry.info/Elements/w/P10516,has film producer corporate body,IRI,,,,
351,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,filmmaker|filmmaker corporate body,,,,,http://rdaregistry.info/Elements/w/P10544,has filmmaker corporate body,IRI,,,,
352,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,fmk|http://id.loc.gov/vocabulary/relators/fmk|http://rdaregistry.info/Elements/w/P10544,,,,,http://rdaregistry.info/Elements/w/P10544,has filmmaker corporate body,IRI,,,,
353,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,founder of work|founder corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10546,has founder corporate body of work,IRI,,,,
354,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,honouree|honouree corporate body of work|honoree|honoree corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10527,has honouree corporate body of work,IRI,,,,
355,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,hnr|http://id.loc.gov/vocabulary/relators/hnr|http://rdaregistry.info/Elements/w/P10527,,,,,http://rdaregistry.info/Elements/w/P10527,has honouree corporate body of work,IRI,,,,
356,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,host institution|hosting institution,,,,,http://rdaregistry.info/Elements/w/P10007,has hosting institution,IRI,,,,
357,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,his|http://id.loc.gov/vocabulary/relators/his|http://rdaregistry.info/Elements/w/P10007,,,,,http://rdaregistry.info/Elements/w/P10007,has hosting institution,IRI,,,,
358,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,interviewee|interviewee corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10541,has interviewee corporate body of work,IRI,,,,
359,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,ive|http://id.loc.gov/vocabulary/relators/ive|http://rdaregistry.info/Elements/w/P10541,,,,,http://rdaregistry.info/Elements/w/P10541,has interviewee corporate body of work,IRI,,,,
360,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,interviewer|interviewer corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10540,has interviewer corporate body of work,IRI,,,,
361,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,ivr|http://id.loc.gov/vocabulary/relators/ivr|http://rdaregistry.info/Elements/w/P10540,,,,,http://rdaregistry.info/Elements/w/P10540,has interviewer corporate body of work,IRI,,,,
362,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,inventor|inventor corporate body,,,,,http://rdaregistry.info/Elements/w/P10537,has inventor corporate body,IRI,,,,
363,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,inv|http://id.loc.gov/vocabulary/relators/inv|http://rdaregistry.info/Elements/w/P10537,,,,,http://rdaregistry.info/Elements/w/P10537,has inventor corporate body,IRI,,,,
364,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,issuing body|issuing corporate body,,,,,http://rdaregistry.info/Elements/w/P10550,has issuing corporate body,IRI,,,,
365,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,isb|http://id.loc.gov/vocabulary/relators/isb|http://rdaregistry.info/Elements/w/P10550,,,,,http://rdaregistry.info/Elements/w/P10550,has issuing corporate body,IRI,,,,
366,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,landscape architect|landscape architect corporate body,,,,,http://rdaregistry.info/Elements/w/P10519,has landscape architect corporate body,IRI,,,,
367,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,lsa|http://id.loc.gov/vocabulary/relators/lsa|http://rdaregistry.info/Elements/w/P10519,,,,,http://rdaregistry.info/Elements/w/P10519,has landscape architect corporate body,IRI,,,,
368,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,librettist|librettist corporate body,,,,,http://rdaregistry.info/Elements/w/P10525,has librettist corporate body,IRI,,,,
369,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,lbt|http://id.loc.gov/vocabulary/relators/lbt|http://rdaregistry.info/Elements/w/P10525,,,,,http://rdaregistry.info/Elements/w/P10525,has librettist corporate body,IRI,,,,
370,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,lyricist|lyricist corporate body,,,,,http://rdaregistry.info/Elements/w/P10524,has lyricist corporate body,IRI,,,,
371,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,lyr|http://id.loc.gov/vocabulary/relators/lyr|http://rdaregistry.info/Elements/w/P10524,,,,,http://rdaregistry.info/Elements/w/P10524,has lyricist corporate body,IRI,,,,
372,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,organizer|organizer corporate body,,,,,http://rdaregistry.info/Elements/w/P10551,has organizer corporate body,IRI,,,,
373,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,orm|http://id.loc.gov/vocabulary/relators/orm|http://rdaregistry.info/Elements/w/P10551,,,,,http://rdaregistry.info/Elements/w/P10551,has organizer corporate body,IRI,,,,
374,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,participant in treaty,,,,,http://rdaregistry.info/Elements/w/P10292,has participant in treaty,IRI,,,,
375,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$j,photographer|photographer corporate body of work,,,,,http://rdaregistry.info/Elements/w/P10539,has photographer corporate body of work,IRI,,,,
376,first pass,111.0,,,,,,,,,,1,Real World Object URI (R),,,$4,pht|http://id.loc.gov/vocabulary/relators/pht|http://rdaregistry.info/Elements/w/P10539,,,,,http://rdaregistry.info/Elements/w/P10539,has photographer corporate body of work,IRI,,,,
