,No source in $2 with unapproved $1,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
10,in progress,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,2,Analytical entry,,,1,,,,aggregate,check aggregate markers ,,,,,,,,,,
11,in progress,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,2,Analytical entry,,,"a, d, f, g, h, k, l, m, n, o, p, r, s, t, x",,,,aggregate,check aggregate markers ,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
14,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
15,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
16,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
17,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
18,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,,,,,,,,,,,
19,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,dramatized as work|is dramatized as work,,,,http://rdaregistry.info/Elements/w/P10016,is dramatized as work,,,,,
20,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,part of work|is part of work,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,
21,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted in verse as work|is adapted in verse as work,,,,http://rdaregistry.info/Elements/w/P10023,is adapted in verse as work,,,,,
22,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as motion picture work|is adapted as motion picture work,,,,http://rdaregistry.info/Elements/w/P10025,is adapted as motion picture work,,,,,
23,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,cadenza work|has cadenza work,,,,http://rdaregistry.info/Elements/w/P10026,has cadenza work,,,,,
24,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,variations based on work|is variations based on work,,,,http://rdaregistry.info/Elements/w/P10027,is variations based on work,,,,,
25,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,modified by variation as work|is modified by variation as work,,,,http://rdaregistry.info/Elements/w/P10028,is modified by variation as work,,,,,
26,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,cadenza composed for work|is cadenza composed for work,,,,http://rdaregistry.info/Elements/w/P10029,is cadenza composed for work,,,,,
27,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,libretto for work|is libretto for work,,,,http://rdaregistry.info/Elements/w/P10030,is libretto for work,,,,,
28,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,incidental music work|has incidental music work,,,,http://rdaregistry.info/Elements/w/P10031,has incidental music work,,,,,
29,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,remade as work|is remade as work,,,,http://rdaregistry.info/Elements/w/P10032,is remade as work,,,,,
30,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,set to music as work|is set to music as work,,,,http://rdaregistry.info/Elements/w/P10033,is set to music as work,,,,,
31,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as novel work|is adapted as novel work,,,,http://rdaregistry.info/Elements/w/P10034,is adapted as novel work,,,,,
32,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as radio program work|is adapted as radio program work,,,,http://rdaregistry.info/Elements/w/P10076,is adapted as radio program work,,,,,
33,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,subseries|has subseries,,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
34,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as television program work|is adapted as television program work,,,,http://rdaregistry.info/Elements/w/P10085,is adapted as television program work,,,,,
35,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as video work|is adapted as video work,,,,http://rdaregistry.info/Elements/w/P10087,is adapted as video work,,,,,
36,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,title of work|has title of work,,,,http://rdaregistry.info/Elements/w/P10088,has title of work,,,,,
37,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abstracted in work|is abstracted in work,,,,http://rdaregistry.info/Elements/w/P10089,is abstracted in work,,,,,
38,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,indexed in work|is indexed in work,,,,http://rdaregistry.info/Elements/w/P10090,is indexed in work,,,,,
39,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as choreography work|is adapted as choreography work,,,,http://rdaregistry.info/Elements/w/P10091,is adapted as choreography work,,,,,
40,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,errata work|has errata work,,,,http://rdaregistry.info/Elements/w/P10092,has errata work,,,,,
41,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,illustrations work|has illustrations work,,,,http://rdaregistry.info/Elements/w/P10093,has illustrations work,,,,,
42,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as motion picture screenplay work|is adapted as motion picture screenplay work,,,,http://rdaregistry.info/Elements/w/P10094,is adapted as motion picture screenplay work,,,,,
43,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as screenplay work|is adapted as screenplay work,,,,http://rdaregistry.info/Elements/w/P10095,is adapted as screenplay work,,,,,
44,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as television screenplay work|is adapted as television screenplay work,,,,http://rdaregistry.info/Elements/w/P10096,is adapted as television screenplay work,,,,,
45,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as video screenplay work|is adapted as video screenplay work,,,,http://rdaregistry.info/Elements/w/P10097,is adapted as video screenplay work,,,,,
46,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as radio script work|is adapted as radio script work,,,,http://rdaregistry.info/Elements/w/P10098,is adapted as radio script work,,,,,
47,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,freely translated as work|is freely translated as work,,,,http://rdaregistry.info/Elements/w/P10099,is freely translated as work,,,,,
48,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,description of work|is description of work,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
49,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,subseries of|is subseries of,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
50,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,issue of|is issue of,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,
51,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,complemented by work|is complemented by work,,,,http://rdaregistry.info/Elements/w/P10103,is complemented by work,,,,,
52,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay for work|is screenplay for work,,,,http://rdaregistry.info/Elements/w/P10105,is screenplay for work,,,,,
53,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,incidental music for work|is incidental music for work,,,,http://rdaregistry.info/Elements/w/P10106,is incidental music for work,,,,,
54,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abstracted as work|is abstracted as work,,,,http://rdaregistry.info/Elements/w/P10107,is abstracted as work,,,,,
55,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,augmented by work|is augmented by work,,,,http://rdaregistry.info/Elements/w/P10108,is augmented by work,,,,,
56,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,summarized as work|is summarized as work,,,,http://rdaregistry.info/Elements/w/P10109,is summarized as work,,,,,
57,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,catalogue work|has catalogue work,,,,http://rdaregistry.info/Elements/w/P10110,has catalogue work,,,,,
58,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,concordance work|has concordance work,,,,http://rdaregistry.info/Elements/w/P10111,has concordance work,,,,,
59,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,addenda work|has addenda work,,,,http://rdaregistry.info/Elements/w/P10112,has addenda work,,,,,
60,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adapted as libretto work|is adapted as libretto work,,,,http://rdaregistry.info/Elements/w/P10113,is adapted as libretto work,,,,,
61,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work reviewed in|is work reviewed in,,,,http://rdaregistry.info/Elements/w/P10114,is work reviewed in,,,,,
62,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work critiqued in|is work critiqued in,,,,http://rdaregistry.info/Elements/w/P10115,is work critiqued in,,,,,
63,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work commentary in|is work commentary in,,,,http://rdaregistry.info/Elements/w/P10116,is work commentary in,,,,,
64,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,imitated as work|is imitated as work,,,,http://rdaregistry.info/Elements/w/P10117,is imitated as work,,,,,
65,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work described in|is work described in,,,,http://rdaregistry.info/Elements/w/P10118,is work described in,,,,,
66,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,expanded as work|is expanded as work,,,,http://rdaregistry.info/Elements/w/P10119,is expanded as work,,,,,
67,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work evaluated in|is work evaluated in,,,,http://rdaregistry.info/Elements/w/P10120,is work evaluated in,,,,,
68,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,work analysed in|is work analysed in,,,,http://rdaregistry.info/Elements/w/P10121,is work analysed in,,,,,
69,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,appendix work|has appendix work,,,,http://rdaregistry.info/Elements/w/P10123,has appendix work,,,,,
70,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,guide work|has guide work,,,,http://rdaregistry.info/Elements/w/P10124,has guide work,,,,,
71,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abridgement of work|is abridgement of work,,,,http://rdaregistry.info/Elements/w/P10125,is abridgement of work,,,,,
72,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,abstract of work|is abstract of work,,,,http://rdaregistry.info/Elements/w/P10126,is abstract of work,,,,,
73,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,dramatization of work|is dramatization of work,,,,http://rdaregistry.info/Elements/w/P10127,is dramatization of work,,,,,
74,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,verse adaptation of work|is verse adaptation of work,,,,http://rdaregistry.info/Elements/w/P10128,is verse adaptation of work,,,,,
75,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,motion picture adaptation of work|is motion picture adaptation of work,,,,http://rdaregistry.info/Elements/w/P10129,is motion picture adaptation of work,,,,,
76,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,novelization of work|is novelization of work,,,,http://rdaregistry.info/Elements/w/P10130,is novelization of work,,,,,
77,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,radio adaptation of work|is radio adaptation of work,,,,http://rdaregistry.info/Elements/w/P10131,is radio adaptation of work,,,,,
78,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,television adaptation of work|is television adaptation of work,,,,http://rdaregistry.info/Elements/w/P10132,is television adaptation of work,,,,,
79,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,screenplay based on work|is screenplay based on work,,,,http://rdaregistry.info/Elements/w/P10133,is screenplay based on work,,,,,
80,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,motion picture screenplay based on work|is motion picture screenplay based on work,,,,http://rdaregistry.info/Elements/w/P10134,is motion picture screenplay based on work,,,,,
81,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,television screenplay based on work|is television screenplay based on work,,,,http://rdaregistry.info/Elements/w/P10135,is television screenplay based on work,,,,,
82,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,video screenplay based on work|is video screenplay based on work,,,,http://rdaregistry.info/Elements/w/P10136,is video screenplay based on work,,,,,
83,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,radio script based on work|is radio script based on work,,,,http://rdaregistry.info/Elements/w/P10137,is radio script based on work,,,,,
84,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,video adaptation of work|is video adaptation of work,,,,http://rdaregistry.info/Elements/w/P10138,is video adaptation of work,,,,,
85,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,digest of work|is digest of work,,,,http://rdaregistry.info/Elements/w/P10139,is digest of work,,,,,
86,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,analysis of work|is analysis of work,,,,http://rdaregistry.info/Elements/w/P10140,is analysis of work,,,,,
87,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,issue|has issue,,,,http://rdaregistry.info/Elements/w/P10141,has issue,,,,,
88,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,adaptation of work|is adaptation of work,,,,http://rdaregistry.info/Elements/w/P10142,is adaptation of work,,,,,
89,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,free translation of work|is free translation of work,,,,http://rdaregistry.info/Elements/w/P10143,is free translation of work,,,,,
90,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,parodied as work|is parodied as work,,,,http://rdaregistry.info/Elements/w/P10144,is parodied as work,,,,,
91,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,part work|has part work,,,,http://rdaregistry.info/Elements/w/P10147,has part work,,,,,
92,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,derivative work|has derivative work,,,,http://rdaregistry.info/Elements/w/P10148,has derivative work,,,,,
93,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,errata to work|is errata to work,,,,http://rdaregistry.info/Elements/w/P10149,is errata to work,,,,,
94,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,guide to work|is guide to work,,,,http://rdaregistry.info/Elements/w/P10150,is guide to work,,,,,
95,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,appendix to work|is appendix to work,,,,http://rdaregistry.info/Elements/w/P10151,is appendix to work,,,,,
96,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,illustrations for work|is illustrations for work,,,,http://rdaregistry.info/Elements/w/P10152,is illustrations for work,,,,,
97,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,evaluation of work|is evaluation of work,,,,http://rdaregistry.info/Elements/w/P10153,is evaluation of work,,,,,
98,,730.0,ADDED ENTRY--UNIFORM TITLE (R),Nonfiling characters,*,,Type of added entry,*,,,,a,Uniform title (NR),,,,supplement to work|is supplement to work,,,,http://rdaregistry.info/Elements/w/P10154,is supplement to work,,,,,
