Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,imitated as work|is imitated as work,,,http://rdaregistry.info/Elements/w/P10117,is imitated as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work described in|is work described in,,,http://rdaregistry.info/Elements/w/P10118,is work described in,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,expanded as work|is expanded as work,,,http://rdaregistry.info/Elements/w/P10119,is expanded as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work evaluated in|is work evaluated in,,,http://rdaregistry.info/Elements/w/P10120,is work evaluated in,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work analysed in|is work analysed in,,,http://rdaregistry.info/Elements/w/P10121,is work analysed in,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,guide work|has guide work,,,http://rdaregistry.info/Elements/w/P10124,has guide work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,abridgement of work|is abridgement of work,,,http://rdaregistry.info/Elements/w/P10125,is abridgement of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,abstract of work|is abstract of work,,,http://rdaregistry.info/Elements/w/P10126,is abstract of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,dramatization of work|is dramatization of work,,,http://rdaregistry.info/Elements/w/P10127,is dramatization of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,verse adaptation of work|is verse adaptation of work,,,http://rdaregistry.info/Elements/w/P10128,is verse adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,motion picture adaptation of work|is motion picture adaptation of work,,,http://rdaregistry.info/Elements/w/P10129,is motion picture adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,novelization of work|is novelization of work,,,http://rdaregistry.info/Elements/w/P10130,is novelization of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,radio adaptation of work|is radio adaptation of work,,,http://rdaregistry.info/Elements/w/P10131,is radio adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,television adaptation of work|is television adaptation of work,,,http://rdaregistry.info/Elements/w/P10132,is television adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay based on work|is screenplay based on work,,,http://rdaregistry.info/Elements/w/P10133,is screenplay based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,motion picture screenplay based on work|is motion picture screenplay based on work,,,http://rdaregistry.info/Elements/w/P10134,is motion picture screenplay based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,television screenplay based on work|is television screenplay based on work,,,http://rdaregistry.info/Elements/w/P10135,is television screenplay based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,video screenplay based on work|is video screenplay based on work,,,http://rdaregistry.info/Elements/w/P10136,is video screenplay based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,radio script based on work|is radio script based on work,,,http://rdaregistry.info/Elements/w/P10137,is radio script based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,video adaptation of work|is video adaptation of work,,,http://rdaregistry.info/Elements/w/P10138,is video adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,digest of work|is digest of work,,,http://rdaregistry.info/Elements/w/P10139,is digest of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,analysis of work|is analysis of work,,,http://rdaregistry.info/Elements/w/P10140,is analysis of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adaptation of work|is adaptation of work,,,http://rdaregistry.info/Elements/w/P10142,is adaptation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,free translation of work|is free translation of work,,,http://rdaregistry.info/Elements/w/P10143,is free translation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,parodied as work|is parodied as work,,,http://rdaregistry.info/Elements/w/P10144,is parodied as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,derivative work|has derivative work,,,http://rdaregistry.info/Elements/w/P10148,has derivative work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,guide to work|is guide to work,,,http://rdaregistry.info/Elements/w/P10150,is guide to work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,appendix to work|is appendix to work,,,http://rdaregistry.info/Elements/w/P10151,is appendix to work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,illustrations for work|is illustrations for work,,,http://rdaregistry.info/Elements/w/P10152,is illustrations for work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,evaluation of work|is evaluation of work,,,http://rdaregistry.info/Elements/w/P10153,is evaluation of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as work|is adapted as work,,,http://rdaregistry.info/Elements/w/P10155,is adapted as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,finding aid work|has finding aid work,,,http://rdaregistry.info/Elements/w/P10157,has finding aid work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,index work|has index work,,,http://rdaregistry.info/Elements/w/P10158,has index work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay work|has screenplay work,,,http://rdaregistry.info/Elements/w/P10159,has screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,motion picture screenplay work|has motion picture screenplay work,,,http://rdaregistry.info/Elements/w/P10160,has motion picture screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,musical setting of work|is musical setting of work,,,http://rdaregistry.info/Elements/w/P10161,is musical setting of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,radio script work|has radio script work,,,http://rdaregistry.info/Elements/w/P10162,has radio script work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,television screenplay work|has television screenplay work,,,http://rdaregistry.info/Elements/w/P10163,has television screenplay work,,,,,
